morning,早晨；上午
afternoon,午后；下午
evening,晚上；傍晚
night,夜间；夜晚
fine,好的
thank,感谢
goodbye,再见
woof,狗叫声
Mrs,夫人；太太
day,一天
today,今天
very,很；非常
well,健康的；身体好的
hope,希望
too,太；也
apple,苹果
bag,包
boy,男孩
girl,女孩
big,大的
small,小的
short,矮的；短的
thin,瘦的；薄的
Miss,女士；小姐
cat,猫
dog,狗
seven,七
eight,八
nine,九
ten,十
touch,触摸
knee,膝盖
pick up,捡起；拾起
stick,枯枝；木棍
draw,画；绘画
snake,蛇
again,再一次
sorry,抱歉的；对不起
elephant,大象
five,五
run,跑
write,写
swim,游泳
fly,飞
sing,唱（歌）
skip,跳绳
ride,骑（马；车）
bicycle,单车，自行车
supergirl,超级女孩
but,但是
hand,手
gate,大门
plate,盘子
young,年轻的
old,老的；旧的
family,家庭
friend,朋友
who,谁
brother,兄弟
sister,姐妹
grandmother,祖母；奶奶；外婆
mummy,（口语）妈妈
daddy,（口语）爸爸
kind and dear,和蔼可亲的
nice,美好的
sweet,甜的
insect,昆虫
jar,玻璃罐
hair,头发
head,头
face,脸
mouth,嘴
eye,眼睛
my,我的
your,你的
giant,巨人
like,喜欢
long,长的
kite,风筝
lion,狮子
look,看；看起来
slide,滑梯
swing,秋千
seesaw,跷跷板
bee,蜜蜂
yellow,黄色（的）
up,向上
down,向下
play,（尤指儿童）玩；玩耍
see,看见
they,他（她；它）们
mouse,老鼠
net,网
man,男人
bag,包
box,箱子；盒子
desk,书桌
chair,椅子
book,书
pencil,铅笔
pencil case,铅笔盒
car,汽车
bear,熊
put,放
in,在……里面
on,在……上面
room,房间
love,喜爱
like,像；如同；喜欢
use,使用
every,每个；每一
keep,保持
clean,清洁
orange,橙色；橙子
pig,猪
has,有（have 三单形式）
for,给；为了
her,她的；她
with,和……一起
leg,腿
come,来；来到
eat,吃
bowl,碗
plate,盘子
spoon,勺子
chopsticks,筷子
cook,做饭
dinner,晚餐
thanks,谢谢
give,给
ready,准备好（做某事）的
here,在这里；此时
How many,多少
kitchen,厨房
naughty,顽皮的
jump,跳
floor,地板
under,在……下面
queen,女王；王后
rabbit,兔子
sit,坐
sun,太阳
moon,月亮
star,星星
sky,天空
bright,明亮的
twinkle,闪烁；闪耀
wonder,想知道
above,在……上面
world,世界
high,高的
diamond,钻石
soup,汤
soft,柔软的
smooth,光滑的
eat,吃
fox,狐狸
hippo,河马
meat,肉
grass,草；草地
wild,野生的
animal,动物
lion,狮子
monkey,猴子
banana,香蕉
run,跑
cute,可爱的
white,白色（的）
hop,单脚跳
naughty,顽皮的
brown,棕色（的）
swing,秋千
umbrella,雨伞
van,（厢式）小型货车
take,拿；取走
raindrop,雨滴
fall,掉落
close,关闭
window,窗户
flower,花
tree,树
pick,采；摘（花、果）
climb,攀爬
colour,颜色；涂颜色
cut,切；割；剪
beautiful,美丽的
help,帮助
cry,哭；哭泣
zebra,斑马
zoo,动物园
white,白色（的）
purple,紫色（的）
pink,粉红色（的）
orange,橙色（的）
brown,棕色（的）
black,黑色（的）
green,绿色（的）
yellow,黄色（的）
blue,蓝色（的）
red,红色（的）
rainbow,彩虹
shine,发光；照耀
outside,在外面
window,窗户
pear,梨
rabbit,兔子
apple,苹果
bird,鸟
butterfly,蝴蝶
watch,观看；注视
go out,出去
house,房屋
want,想要
some,有些；一些
sleep,睡觉
little,一点儿；少量的
